test_domain,model_name,perturb,mean_of_seed_means,std_of_seed_means,seeds
TORGO,multi_uaspeech+torgo,gain_0.7,0.09544639094134369,0.011464612815481685,10
TORGO,multi_uaspeech+torgo,gain_1.3,0.15789788564326504,0.021409610113850414,10
TORGO,multi_uaspeech+torgo,noise_0.002,0.24119777664628939,0.09909129091101455,10
TORGO,multi_uaspeech+torgo,noise_0.005,0.44296537681468157,0.15149915815279694,10
TORGO,multi_uaspeech+torgo,shift_+80,0.0694856716632786,0.0061192705141112184,10
TORGO,multi_uaspeech+torgo,shift_-80,0.07850142530252076,0.006266322751271878,10
TORGO,single_torgo,gain_0.7,0.12036128117911801,0.01393933632046824,10
TORGO,single_torgo,gain_1.3,0.1841639561952863,0.030679860570194104,10
TORGO,single_torgo,noise_0.002,0.3478605387062126,0.1402437292102545,10
TORGO,single_torgo,noise_0.005,0.5834949649208653,0.19590376078996974,10
TORGO,single_torgo,shift_+80,0.05867866849561498,0.007286519591122074,10
TORGO,single_torgo,shift_-80,0.06410336933542413,0.009043573455745114,10
TORGO,single_uaspeech,gain_0.7,0.05366693828773132,0.007353120750519748,10
TORGO,single_uaspeech,gain_1.3,0.11176802020992413,0.01118258603531251,10
TORGO,single_uaspeech,noise_0.002,0.22190080275430915,0.02739075469898299,10
TORGO,single_uaspeech,noise_0.005,0.39709019855252375,0.03000032857076274,10
TORGO,single_uaspeech,shift_+80,0.06999216352627464,0.00428367709534113,10
TORGO,single_uaspeech,shift_-80,0.07951414633813157,0.006404430234753658,10
UASPEECH,multi_uaspeech+torgo,gain_0.7,0.07668624598591631,0.009488815430343071,10
UASPEECH,multi_uaspeech+torgo,gain_1.3,0.25821628668886676,0.02366250020342691,10
UASPEECH,multi_uaspeech+torgo,noise_0.002,0.8306309321229468,0.09249962855460492,10
UASPEECH,multi_uaspeech+torgo,noise_0.005,1.285501185190602,0.1353354630518863,10
UASPEECH,multi_uaspeech+torgo,shift_+80,0.17468213495827667,0.021607016729334,10
UASPEECH,multi_uaspeech+torgo,shift_-80,0.09208272359509724,0.01531709161856431,10
UASPEECH,single_torgo,gain_0.7,0.03732970031744352,0.005683225975730504,10
UASPEECH,single_torgo,gain_1.3,0.2688735185284382,0.0341338492305991,10
UASPEECH,single_torgo,noise_0.002,0.4744163862110843,0.06223180544724721,10
UASPEECH,single_torgo,noise_0.005,0.7355402660294179,0.07659111788927303,10
UASPEECH,single_torgo,shift_+80,0.08967950905911229,0.009434925052909502,10
UASPEECH,single_torgo,shift_-80,0.044763421025703416,0.00738979866368957,10
UASPEECH,single_uaspeech,gain_0.7,0.07830211344173678,0.011696212572482118,10
UASPEECH,single_uaspeech,gain_1.3,0.26178539666146916,0.027739959663143805,10
UASPEECH,single_uaspeech,noise_0.002,0.8906833926736922,0.21999463304255923,10
UASPEECH,single_uaspeech,noise_0.005,1.5247185189237502,0.3296746206820374,10
UASPEECH,single_uaspeech,shift_+80,0.1581619678171964,0.020564123631052738,10
UASPEECH,single_uaspeech,shift_-80,0.08846874500861533,0.015461566793170083,10
