test_domain,model_name,perturb,mean_of_means,std_of_means,mean_of_medians,std_of_medians,seeds,n_total
TORGO,multi_uaspeech+torgo,gain_0.7,0.0903845473999539,0.010722781403870646,0.0717168265,0.009742146241486595,10,12950
TORGO,multi_uaspeech+torgo,gain_1.3,0.1500696079854952,0.01936113202060514,0.120782141,0.014474637211568038,10,12950
TORGO,multi_uaspeech+torgo,noise_0.002,0.2488015944389604,0.10899112216275533,0.1182612045,0.03286910899805448,10,12950
TORGO,multi_uaspeech+torgo,noise_0.005,0.44949705124891615,0.16353233504156012,0.2546309935,0.05473125945976596,10,12950
TORGO,multi_uaspeech+torgo,shift_+80,0.06770432988199157,0.008661006058251385,0.0428681675,0.007595466937481801,10,9964
TORGO,multi_uaspeech+torgo,shift_-80,0.0735557508260684,0.006617876040521746,0.044461834,0.006043005410114792,10,9964
TORGO,single_torgo,gain_0.7,0.12473317281993927,0.014143983615693053,0.10531988650000002,0.0257474131580126,10,7968
TORGO,single_torgo,gain_1.3,0.1823653246619768,0.03238326608480912,0.1630717485,0.032588933461223206,10,7968
TORGO,single_torgo,noise_0.002,0.38362416024190515,0.15639444816846626,0.23186036250000003,0.12808594486622968,10,7968
TORGO,single_torgo,noise_0.005,0.6315229678189876,0.2198253544825154,0.4531046525,0.20056695501699415,10,7968
TORGO,single_torgo,shift_+80,0.05855503455861649,0.010180172189963723,0.037557555000000006,0.007336402993929958,10,4982
TORGO,single_torgo,shift_-80,0.06164820514668036,0.008932484987133926,0.037844047000000006,0.005189479566553216,10,4982
TORGO,single_uaspeech,gain_0.7,0.051526078704029574,0.007896121611452122,0.037842035,0.005338452447323412,10,12950
TORGO,single_uaspeech,gain_1.3,0.10596915622439376,0.011363946940080484,0.07558906,0.008193758028279824,10,12950
TORGO,single_uaspeech,noise_0.002,0.23166539169118522,0.027895208862493873,0.141297141,0.02711259243445908,10,12950
TORGO,single_uaspeech,noise_0.005,0.41326577770146633,0.029268868843985857,0.323714361,0.024154187174362258,10,12950
TORGO,single_uaspeech,shift_+80,0.067627289797904,0.005566925824504934,0.0439820355,0.0036471410967484357,10,9964
TORGO,single_uaspeech,shift_-80,0.075435235841176,0.006814227144709891,0.046999308000000004,0.0067760425425814255,10,9964
UASPEECH,multi_uaspeech+torgo,gain_0.7,0.076373279338,0.00951435451824213,0.06272435600000001,0.010109876918704795,10,13500
UASPEECH,multi_uaspeech+torgo,gain_1.3,0.259912822716,0.02334287436381206,0.20161447949999997,0.020706582661992812,10,13500
UASPEECH,multi_uaspeech+torgo,noise_0.002,0.838461673704,0.10463639650730477,0.6679810935,0.1168845725125163,10,13500
UASPEECH,multi_uaspeech+torgo,noise_0.005,1.2941445291993332,0.1516589525338251,1.1110804515,0.1875969039000858,10,13500
UASPEECH,multi_uaspeech+torgo,shift_+80,0.175648016112,0.023745630354416,0.1221524375,0.013684947473891453,10,10000
UASPEECH,multi_uaspeech+torgo,shift_-80,0.090935088218,0.015207591714809794,0.0551399975,0.01290303761341346,10,10000
UASPEECH,single_torgo,gain_0.7,0.036428720703,0.0050373173884026385,0.02665536,0.004962429615145409,10,8500
UASPEECH,single_torgo,gain_1.3,0.267354849144,0.033864639028145266,0.21924442549999998,0.034858268908231176,10,8500
UASPEECH,single_torgo,noise_0.002,0.4731833136260001,0.06222621146578349,0.3529201575,0.051079796709923665,10,8500
UASPEECH,single_torgo,noise_0.005,0.731424948255,0.07596700559582638,0.575487992,0.07081711918896948,10,8500
UASPEECH,single_torgo,shift_+80,0.089959958206,0.010071819211672758,0.0591890415,0.007571963706233105,10,5000
UASPEECH,single_torgo,shift_-80,0.044176453994000005,0.007008111342941576,0.025109672500000003,0.004739453469031852,10,5000
UASPEECH,single_uaspeech,gain_0.7,0.078171074138,0.012034154914835973,0.064362367,0.011427645397997496,10,13500
UASPEECH,single_uaspeech,gain_1.3,0.26357706942933334,0.026720245132854852,0.197271451,0.018529269175131154,10,13500
UASPEECH,single_uaspeech,noise_0.002,0.9037091160006666,0.22315140062552394,0.7580253745000001,0.2767861631940725,10,13500
UASPEECH,single_uaspeech,noise_0.005,1.5488413491806665,0.3387550823779595,1.3781647965,0.43468757979004463,10,13500
UASPEECH,single_uaspeech,shift_+80,0.158319839446,0.021573549812299322,0.11008997499999999,0.014290663362954453,10,10000
UASPEECH,single_uaspeech,shift_-80,0.08722884599,0.015460579070494132,0.05350681,0.013195140284353642,10,10000
